###❝에스페란토 어근❞, ❝(완전히 동일한) 에스페란토 어근❞   으로 구성된 행은、대응하는 치환 후 문자열이 존재하는 경우와 동일한 우선순위를 가지지만、 실제로는 문자열(한자) 치환을 수행하지 않는 것을 의미합니다.
에스페란토 어근##, 일본어 번역 루비##
teleskop,망원경
teokrati,신정정치
tipograf,식자공
topograf,지형학자
toreador,투우사
transept,수랑
tuberkul,결핵
amfiteatr,원형경기장
apopleksi,졸중
arbitraci,중재
arĥeolog,고고학자
arĥitekt,건축가
aritmetik,산수
arkeologi,고고학
arkipelag,군도
astrologi,점성술
astronomi,천문학
aŭditori,강당
aŭtograf,자필
aŭtokrat,독재자
deklaraci,선언
demokrati,민주주의
dialektik,변증법
disciplin,규율
disenteri,적리
entomolog,곤충학자
etnografi,민족지학
filantrop,박애가
fiziologi,생리학
fizionomi,인상
fotografi,사진술
genealogi,족보학
gladiator,검투사
grafologi,필적학
harmonium,하모늄
heksametr,육보격
heliotrop,헬리오트로프
hidrofobi,공수병
hieroglif,상형문자
higrometr,습도계
hipopotam,하마
homeopati,유사요법
ideografi,표의문자법
imperativ,명령법
imperfekt,미완료
impresari,흥행주
indikativ,직설법
infanteri,보병대
infinitiv,부정법
inkvizici,종교재판
intendant,집사
kabriolet,오픈카
kandelabr,촛대
karikatur,풍자화
kartograf,지도제작자
kastanjet,캐스터네츠
katalepsi,강직증
katastrof,재난
kateĥist,전도사
kompromis,타협
konduktor,차장
konkurenc,경쟁
kontinent,대륙
kontrabas,콘트라베이스
konvolvul,메꽃
kosmogoni,우주발생론
kosmograf,우주학자
krizantem,국화
kronologi,연대학
kronometr,크로노미터
krucifiks,십자가상
kvadratur,구적법
litografi,석판술
lokomobil,이동식 증기기관
melankoli,우울
metafizik,형이상학
mikrometr,마이크로미터
mikroskop,현미경
mineralog,광물학
monoteism,일신론
neologism,신어
oligarĥi,과두정치
ornitolog,조류학자
ostracism,도편추방
paleograf,고문서학자
palisandr,자단나무
paroksism,발작
pentametr,5보격시
plutokrat,재벌
politeism,다신교
providenc,섭리
pulĉinel,어릿광대
purgatori,연옥
recitativ,서창부
reformaci,종교개혁
rekrement,찌꺼기
repertuar,레퍼토리
rezignaci,체념
sakrament,성례
sekundant,증인
skarlatin,성홍열
skolastik,스콜라 철학
somnambul,몽유병자
sortiment,견본 세트
spekulaci,투기
spirit/ism##,spirit/ism##
spirit/ist##,spirit/ist##
stalagmit,석순
stalaktit,종유석
statistik,통계
ŝovinism,국수주의
ŝovinist,국수주의자
tipografi,활판인쇄
topografi,지형학
velociped,자전거
veterinar,수의사
vivisekci,생체해부
abiturient,졸업생
alternativ,대안
anakronism,시대착오
antropolog,인류학자
arĥeologi,고고학
arĥipelag,군도
aristokrat,귀족
arkitektur,건축양식
aŭtokrati,독재
beletristik,미문학
bibliograf,서지학자
civilizaci,문명
dinamometr,동력계
ekskrement,배설물
entomologi,곤충학
eŭkaristi,성찬식
filantropi,박애
hipertrofi,비대
ingredienc,성분
inkvizitor,종교재판관
kartografi,지도제작
koeficient,계수
kompliment,칭찬
kongregaci,교단
konsistori,추기경회의
kontraband,밀수
kontribuci,기여금
kosmografi,우주지리학
kosmopolit,세계인
krestomati,문선집
kvintesenc,진수
manufaktur,제조공장
manuskript,원고
metamorfoz,변신
meteorolog,기상학자
mineralogi,광물학
naturalism,자연주의
numismatik,화폐학
ornitologi,조류학
paleografi,고문서학
perspektiv,전망
plutokrati,금권정치
pneŭmatik,타이어
prerogativ,특권
pseŭdonim,가명
stenografi,속기
subjunktiv,접속법
superlativ,최상급
tuberkuloz,결핵
admiralitat,해군본부
antropologi,인류학
aristokrati,귀족정치
bibliografi,서지학
cirkumfleks,곡절부호
demonstraci,논증
departement,부서
enciklopedi,백과사전
hermafrodit,자웅동체
hidrostatik,유체정력학
hidroterapi,수치료법
imperialism,제국주의
inaŭguraci,식
kalejdoskop,만화경
kondicional,조건법
konfederaci,연합국
konglomerat,역암
kontrapunkt,대위법
manifestaci,시위
metempsikoz,윤회
meteorologi,기상학
observatori,관측소
paleontolog,고생물학자
pleŭronekt,가자미
protagonist,주인공
protektorat,보호국
pseŭd,가짜
racional/ism##,racional/ism##
racional/ist##,racional/ist##
reŭmatism,류머티즘
temperament,기질
tragikomedi,희비극
administraci,행정부
demonstrativ,지시사
konservatori,음악학교
paleontologi,고생물학
paralelogram,평행사변형
spiritualism,유심론
spiritualist,심령론자
trigonometri,삼각법
aŭtobiografi,자서전
t.e.,즉
k.t.p.,등등
kiom,"몇 번째, 얼마만큼"
kiom##,kiom##
kiom##,kiom##
dum,동안
dum##,dum##
ĝis,까지
ĝis##,ĝis##
anstataŭ,대신에
anstataŭ##,anstataŭ##
kiu##,kiu##
kiu,누구
tiu##,tiu##
tiu,그것
ĉiu,각~
ĉiu##,ĉiu##
neniu,아무도
neniu##,neniu##
ambaŭ,양쪽의
ambaŭ##,ambaŭ##
tiu ĉi##,tiu ĉi##
tiu ĉi##,tiu ĉi##
fiks,고정된
fiks##,fiks##
fals,거짓의
fals##,fals##
ĉu##,ĉu##
ĉu,~입니까?
kial,왜
kial##,kial##
kiel,어떻게
kiel##,kiel##
tamen,그래도
tamen##,tamen##
apenaŭ,하자마자
apenaŭ##,apenaŭ##
kvazaŭ,마치
kvazaŭ##,kvazaŭ##
ĉirkaŭ,주위에
ĉirkaŭ##,ĉirkaŭ##
precip##,precip##
precip,주로
tut,전체의
tut##,tut##
rest##,rest##
rest,나머지
ĉiel,여러모로
ĉiel##,ĉiel##
interes,관심 끌다
interes##,interes##
lig,"묶다, 결합하다"
lig##,lig##
rul,굴리다
rul##,rul##
arm##,arm##
arm,무기
fos,파다
fos##,fos##
plant,심다
plant##,plant##
orient##,orient##
orient,동쪽
fald,접다
fald##,fald##
kaj,그리고
kaj##,kaj##
amas,무리
amas##,amas##
kopi,복사하다
kopi##,kopi##
fotograf,촬영하다
fotograf##,fotograf##
ĉar,때문에
ĉar##,ĉar##
fikci##,fikci##
fikci,허구
nul,영
nul##,nul##
klar##,klar##
klar,명확한
artikol,기사
artikol##,artikol##
aŭgust,8월
aŭgust##,aŭgust##
por,위해
por##,por##
opozici,반대하다
opozici##,opozici##
fot,사진
vibr,진동하다
oscil,진동하다
fluktu,변동하다
indigo,인디고
ad##,ad##
ad,지속
ag,행동하다
al,~로
am,사랑하다
an,회원
ar,무리
as,현재
at,받고 있는
av,조부
bo,혼인관계
ci,너
da,의
de,"~의, ~로부터"
di,신
Di##,Di##
do,그래서
du,둘
ec,성질
eg,강렬
ej,장소
ek,시작
el,"에서, 로부터"
em,경향
en,안에
er,입자
et,작은
fe,요정
fi##,fi##
fi,비열한
ge,남녀
ha,하!
he,이봐!
ho,오!
ia,일종의
id,자손
ie,어딘가에
ig,하게 하다
il,도구
in,여성
io,무엇인가
ir,가다
is,였
it,염증
iu##,iu##
iu,누군가
ja,정말
je,에
ju,더욱
ke,라는 것
l',정冠사
la,정관사
li,그
lu,임차하다
mi,나
ne,아니
ni,우리
nj,여성애칭
nu,자
od,송시
ok,여덟
ol,보다
on,분수
op,집합수
or,금
os,미래형
ot,받을
ov,알
pi,경건한
po,씩
re,다시
se,만약
si,자기
te,차
uj,그릇
ul,사람
um,없음
ur,들소
us,가정법 어미
uz,쓰다
ve,아아!
vi,당신
homeopat,동종요법사
zoolog,동물학
###↓ここから下は日中韓注釈版(20260416)から自動補完した語根訳(2026-06-25)。12214件。
ging…gang…giling…gilang…,딩…댕…링…랑…
palatalalveolar,치경구개
paleodiktiopter,고망시목
pluskvamperfekt,대과거
prestidigitator,마술사
sinkrociklotron,싱크로사이클로트론
cianokobalamin,비타민B12
konstantinopol,콘스탄티노플
administrator,관리자
avalokiteŝvar,관음
aŭstralopitek,오스트랄로피테쿠스
benzodiazepin,벤조디아제핀
butilhidroksi,부틸하이드록시
digitopunktur,지압요법
ekvipotencial,등전위
eŭroparlament,유럽의회
floroglucinol,플로로글루시놀
jekaterinburg,예카테린부르크
kalamagrostid,산조풀속
karakteristik,지표
kloramfenikol,클로람페니콜
kortikosteron,코르티코스테론
ksantoprotein,황색단백
nomenklaturik,명명법학
paralelepiped,평행육면체
perpendikular,수직
proparoksiton,끝전전강세
propionlakton,프로피오락톤
prostaglandin,프로스타글란딘
stratokumulus,층적운
transformator,변압기
amplifikator,증폭기
anizometropi,굴절부등
apendikulari,꼬리멍게류
azidotimidin,지도부딘
brandenburgi,브란덴부르크
cirkonferenc,원주
cirkonvalaci,포위진
deŭteromicet,불완전균류
diskriminaci,차별
diskriminant,판별식
ekaterinburg,예카테린부르크
eksponencial,지수함수
ekstravaganc,기발
ekstravertit,외향적
ekzistencial,실존
elektroforez,전기영동
enteropneŭst,장새강
eritropoezin,에리트로포이에틴
fantasmagori,환영
gasteromicet,복균류
germanlingvi,독일어권
hejlongĝjang,헤이룽장
hematoksilin,헤마톡실린
idiosinkrazi,개인특성
instrumental,조격
interpozitiv,개재구
jurisprudenc,판례법
katadioptrik,반굴절학
klamidomonad,클라미도모나스
klamidosperm,마황류
kombinatorik,조합론
konsubstanci,동일본질
kontradmiral,해군소장
kumulonimbus,적란운
metropoliten,지하철
multipleksor,멀티플렉서
nebukadnecar,네부카드네자르
nemathelmint,선형동물
nimbostratus,난층운
nitrozomonad,니트로소모나스
parlamentari,군사교섭관
pentametilen,펜타메틸렌
pneŭmonokoni,진폐
predispozici,소인화
presbiterian,장로교
projekciator,투영기
rentabilitat,수익성
retrospektiv,회고
sekvojadendr,세쿼이아덴드론속
skarifikator,난절기
spermatogoni,정원세포
sterilizator,멸균기
streptomicet,스트렙토미세스
streptomicin,스트렙토마이신
turkmenistan,투르크메니스탄
vespertilion,애기박쥐속
akromatopsi,색맹
alkoholatur,알코올침제
andrapradeŝ,안드라프라데시
angiotensin,안지오텐신
anizosfigmi,맥박부등
antananariv,안타나나리보
antilebanon,안티레바논
arkimandrit,수도원장
arktostafil,곰들쭉속
arondisment,구
astronaŭtik,우주항행학
azotobakter,아조토박터
aŭgmentativ,확대사
aŭripigment,자황
bakteriofaĝ,파지
behaviorism,행동주의
bhagavadgit,바가바드기타
brandenburg,브란덴부르크
brankiostom,창고기
cifoskolioz,후측만증
ciklosporin,사이클로스포린
cistopterid,한들고사리속
cukcukcikad,쓰름매미
denominator,분모
diastrofism,지각변동
diferencial,미분
difilobotri,광절열두조충
dipterokarp,용뇌향속
disproporci,불균형
dolikocefal,장두
ekonometrik,계량경제학
ekstemporal,즉석
elasmobrank,판새류
entablement,엔타블러처
entomostrak,소형갑각류
eritroblast,적혈모세포
eŭdajmonism,행복주의
eŭripterigi,어룡속
fenciklidin,펜사이클리딘
fiziognomik,관상술
florideofic,진정홍조강
fluorescein,플루오레세인
foraminifer,유공충
franclingvi,프랑스어권
gastroknemi,비복근
generalisim,대원수
glosofaring,혀인두
glosopterid,글로소프테리스속
gratifikaci,상여금
gvadalkanal,과달카날
gvadalkivir,과달키비르
hamiltonian,해밀토니언
hemerokalid,원추리
hermeneŭtik,해석학
hesperornit,헤스페로르니스
hidrokarbid,탄화수소
himenomicet,자실층균
hipermetrop,원시
hohencolern,호엔촐레른
homeoteleŭt,유사어미
homoseksual,동성애
hortikultur,원예
iktiopterig,어룡류
infinitezim,무한소
insuficienc,부전
inteligenci,지식층
interleŭkin,인터루킨
introvertit,내향
iĥtiopterig,어룡류
johanesburg,요하네스버그
kaliningrad,칼리닌그라드
kameciparis,편백속
karakalpaki,카라칼파크
kirgizistan,키르기스
kiropraktik,카이로프랙틱
klitemnestr,클리타임네스트라
kompensator,보상기
kondensator,콘덴서
konflagraci,대화재
kontratenor,카운터테너
kosmonaŭtik,우주항행학
krasnojarsk,크라스노야르스크
krosopterig,총기어류
kseroftalmi,안구건조증
kvadrupleks,사중식
labiodental,순치음
lamelibrank,이매패류
lentibulari,통발속
lepidodendr,인목
leptinotars,콜로라도감자잎벌레
likvidambar,풍나무속
lipoprotein,지단백
liĥtenŝtejn,리히텐슈타인
madjapradeŝ,마디아프라데시
makrobiotik,마크로비오틱
maksimilian,막시밀리안
malakostrak,연갑류
manipulator,매니퓰레이터
meklenburgi,메클렌부르크
melitokokoz,브루셀라증
merkurokrom,머큐로크롬
mezembriant,송엽국속
mnemoteknik,기억술
narkoanaliz,마취분석
nitrobakter,니트로박터
nitrobenzin,니트로벤젠
nomenklatur,명명법
novosibirsk,노보시비르스크
orikteropod,땅돼지
osteomjelit,골수염
paralipomen,역대기
paternalism,온정주의
patognomoni,병징특이
pirenomicet,핵균류
pitekantrop,자바원인
plasmaferez,혈장분리
pneŭmogastr,미주신경
pojkiloterm,변온
prestidigit,손재주마술
profilaktik,예방
progesteron,프로게스테론
proklorofit,원록조류
propedeŭtik,예비교육
propriocept,고유감각
proterozoik,원생대
protuberanc,융기
pteranodont,프테라노돈
pterodaktil,프테로닥틸루스
ptilonorink,정원사새
referendari,참사관
remonstrant,항변파
sekretariat,사무국
sekvestraci,공탁
silvikultur,조림
skolopendri,골고사리
spermatofit,종자식물
sporotrikum,스포로트리쿰
strepsipter,꼬인날개목
streptopeli,멧비둘기속
stromatolit,스트로마톨라이트
stroncianit,스트론티아나이트
teleŭtospor,동포자
testosteron,테스토스테론
tiokarboksi,티오카복시
totalizator,투표집계
tradeskanti,자주달개비속
transduktor,변환기
transilvani,트란실바니아
transmutaci,변환
trateratra!,나팔소리!
valentinian,발렌티니아누스
valerlakton,발레로락톤
vincetoksik,백미꽃속
vladivostok,블라디보스토크
ĉatelperoni,샤텔페롱기
ĝardenistik,조경술
ĵurnalistik,저널리즘
aeronaŭtik,항공술
afganistan,아프가니스탄
agrikultur,농업
akumulator,축전지
akupunktur,침술
albuminuri,단백뇨
aldosteron,알도스테론
aleksandri,알렉산드리아
alternator,교류발전기
ambivalenc,양가감정
ambulatori,외래진료소
amendament,수정안
amfibologi,양의성
ampelopraz,코끼리마늘
anabaptist,재세례파
anafilaksi,아나필락시스
anastigmat,비점수차없음
ancilostom,구충
andropogon,안드로포곤
angiosperm,속씨식물
ankilostom,구충
antecedent,전력
anterozoid,유주정자
antiklinal,배사
antonomazi,환칭
antrakinon,안트라퀴논
apologetik,호교론
aposterior,후천적
aristoloki,쥐방울덩굴
armadilidi,공벌레속
artakserks,아르타크세르크세스
artikulaci,조음
azerbajĝan,아제르바이잔
aŭreomicin,오레오마이신
aŭrikulari,목이버섯
aŭstralazi,오스트랄라시아
aŭstronezi,오스트로네시아
aŭtodidakt,독학자
bagavadgit,바가바드기타
baptisteri,세례당
blunderbuz,나팔총
bombinator,무당개구리속
bonaventur,보나벤투라
brakicefal,단두
brontosaŭr,브론토사우루스
bukcinator,볼근
burgenland,부르겐란트
cefalaspid,두갑류
centezimal,백분법
cercidifil,계수나무속
cerkopitek,긴꼬리원숭이속
cianhidrin,시안히드린
cibernetik,사이버네틱스
cimbopogon,향모속
citofilakt,세포보호
cucugamuŝi,쯔쯔가무시병
dagerotipi,은판사진법
dakriocist,눈물주머니
daŭfenland,도피네
deltametal,델타메탈
denominaci,디노미
diagnostik,진단학
dialipetal,갈래꽃
diapozitiv,슬라이드
diazometan,디아조메탄
dielektrik,유전
difeomorfi,미분동형사상
digitoksin,디기톡신
dioklecian,디오클레티아누스
dioskorein,디오스코레인
diplomatik,고문서학
direkteron,방향타
dirlididi!,대수롭지않음!
dispensari,무료진료소
distribuci,분포
divertikul,게실
dramaturgi,극작법
driopterid,관중속
ekscentrik,편심
ekscitator,방전기
eksklamaci,감탄법
ekskoriaci,찰과상
ekspresion,표현
ekstradici,인도
ekvatorial,적도의
ekvipolent,동치
ekvivalent,동등
ekzekvatur,집행허가
ekzoftalmi,안구돌출
elefantiaz,상피병
elektrofor,전기분
elektrokut,감전사시키다
embriogeni,배발생
endometrit,자궁내막염
epispastik,발포성
ergosterol,에르고스테롤
eritroksil,코카나무속
eritropoez,적혈구생성
espanjolet,크레몬볼트
eŭdiometri,유디오메트리
fakultativ,선택적
fanerozoik,현생누대
fatamorgan,신기루
feldmarŝal,원수
fenikopter,홍학
fenotiazin,페노티아진
fideikomis,신탁유증
filharmoni,필하모니
filipendul,터리풀속
franĉkonte,프랑슈콩테
frontispic,권두삽화
funkcional,범함수
galeopitek,날여우원숭이
gasteroste,큰가시고기
gimnosperm,나자
giromagnet,자이로자기
giromitrin,자이로미트린
glikokalik,당피질
gliptodont,글립토돈
gubernator,주지사
hajdelberg,하이델베르크
halucinaci,환각
harpagofit,하르파고피툼속
hejdelberg,하이델베르크
hejlunĝang,헤이룽장
helenistik,헬레니즘기
hematoksil,로그우드속
hemimorfit,이극석
hemoglobin,헤모글로빈
hercegovin,헤르체고비나
hermesbust,헤르메스흉상
hesperidin,헤스페리데스
heterodoks,이단
heterotrof,종속영양
hidrokarid,자라풀속
hidrokarit,자라풀속
hidrokorak,가마우지
hidrokotil,피막이속
himantopod,장다리물떼새속
himenopter,벌목
hiosciamin,히오시아민
hipergonar,아나모픽렌즈
hipokastan,칠엽수
hipokaŝtan,마로니에
hipokondri,건강염려
hipoĥondri,심기증
hohenstaŭf,호엔슈타우펜
idempotent,멱등
igvanodont,이구아노돈
imprimatur,출판허가
individual,개인
infruktesk,열매차례
instruktor,교관
interferon,인터페론
interuptor,차단기
introspekt,내성
investitur,서임
jurisdikci,관할권
kalceolari,칼세올라리아속
kalciferol,칼시페롤
kalimantan,칼리만탄
kalmodulin,칼모듈린
kanalizaci,하수도
kantaridin,칸타리딘
kantonment,숙영
kanĉenĵung,칸첸중가
kapilavast,카필라바스투
karakalpak,카라칼파크인
karburator,기화기
kariokinez,핵분열
karminativ,구풍
karpentari,카펀테리아
kenigsberg,쾨니히스베르크
kibernetik,사이버네틱스
kilimanĝar,킬리만자로
klejstogam,폐쇄수정
klerodendr,누리장나무속
kloroplast,엽록체
kokotraŭst,밀화부리속
kolesterin,콜레스테린
kolesterol,콜레스테롤
komisariat,위원부
komparativ,비교급
kompletori,끝기도
kondilartr,과절목
kondrostom,콘드로스토마속
konektikut,코네티컷
konfidenci,밀담
konfirmaci,견진
konidiofor,분생자병
konjunktiv,결막
konjunktur,경기
konkordanc,용어색인
konkrement,결석
konosament,선하증권
konsistenc,점조도
konskripci,징병제
konstantan,콘스탄탄
konstanten,콘스탄티누스
konstantin,콘스탄틴
konstelaci,별자리
konstrukci,설계
kontingenc,우연성
kontingent,할당
kontradanc,콩트르당스
kontraktur,구축
kontramark,부표지
kontrapost,콘트라포스토
kooperativ,협동조합
kriptogram,크립토그램마속
kriptomeri,삼나무
kriptoteni,파드득나물
kromoplast,유색체
ksantelasm,황색판종
kultivator,경운기
kuomintang,국민당
kutireakci,피부반응
kvadriceps,대퇴사두근
kvadrilion,10^24
kvintilian,퀸틸리아누스
kvintilion,10^30
lagerstrom,배롱나무
lagranĝian,라그랑지언
lamelikorn,풍뎅이류
legitimaci,신분증명
lepidopter,나비목
lepidosaŭr,인룡류
leptocefal,렙토케팔루스
leŭkoplast,반창고
likopersik,토마토속
lingvistik,언어학
liriodendr,튤립나무속
loksodromi,항정선
luksemburg,룩셈부르크
madagaskar,마다가스카르
magnolifit,속씨식물문
mahabharat,마하바라타
makaronezi,마카로네시아
malversaci,횡령
manksinsul,맨섬
mefistofel,메피스토펠레스
megalosaŭr,메갈로사우루스
melkicedek,멜기세덱
melopsitak,사랑앵무속
meningokok,수막구균
metaldehid,메트알데하이드
metencefal,후뇌
metropolit,수도대주교
mezopotami,메소포타미아
mikelanĝel,미켈란젤로
miksomatoz,점액종증
miksomicet,점균강
miksomikot,점균문
milenarism,천년왕국설
mirmekofag,큰개미핥기
mitokondri,미토콘드리아
mizerikord,자비
monelmetal,모넬합금
montparnas,몽파르나스
montpelier,몽펠리에
nardostaki,감송향속
narkolepsi,기면증
neandertal,네안데르탈
nefrolepid,줄고사리속
nekromanci,강령술
oestradiol,에스트라디올
orangutang,오랑우탄
organizaci,조직
orkestrion,오케스트리온
ornitorink,오리너구리
oscilatori,흔들말속
palimpsest,재사용양피지
pankreatin,판크레아틴
pantagruel,팡타그뤼엘
paracentez,천자배액
paraldehid,파라알데하이드
paroksiton,차말강세
paronomazi,말장난
partenocis,담쟁이덩굴속
partikular,특수
peletierin,펠레티에린
pensilvani,펜실베이니아
perestrojk,페레스트로이카
perkolator,퍼컬레이터
peronospor,노균속
perpendikl,수직
petroselin,파슬리
pilokarpin,필로카르핀
piridoksin,피리독신
plagioklaz,사장석
plagiostom,판새류
plasmodesm,원형질연락사
platikodon,도라지
pleistocen,홍적세
plejstocen,홍적세
pleziosaŭr,수장룡
pogostemon,광곽향속
poliplektr,공작꿩속
polisindet,다접속법
pomerihund,포메라니안
postpozici,후치사
prepozitiv,전치사구
preventori,예방요양소
prokurator,재무관
prolegomen,서론
proskripci,추방
prospektiv,미래학
prospektor,탐광자
prostituci,매춘
protaktini,프로트악티늄
provincial,지방
pteridofit,양치식물
pterobrank,익새류
pumpernikl,펌퍼니켈
rabdomanci,다우징
radamantis,라다만튀스
radiolarit,방산충암
referendum,국민투표
reformator,개혁가
regeneraci,재생
regensburg,레겐스부르크
rekvizitor,소품담당
responsori,응송
rezorcinol,레조르시놀
rinkocefal,훼두목
rinĥocefal,훼두목
ritmenblus,리듬앤블루스
sangvisorb,오이풀속
sardanapal,사르다나팔로스
saskaĉevan,서스캐처원
satisfakci,보상
sebastopol,세바스토폴
septuagint,칠십인역
serpentari,뱀잡이수리
sfinglipid,스핑고지질
sinkondroz,연골결합
sinkrotron,싱크로트론
sistematik,계통분류학
skizofreni,조현병
sklerenkim,후벽조직
skolopendr,왕지네
skopolamin,스코폴라민
skrofulari,현삼속
spergulari,갯개미자리속
spermatozo,정자
spermogoni,정자기
spiroketal,스피로헤타목
stafilokok,포도상구균
stegocefal,미로치류
sterkorari,도둑갈매기
sternorink,가슴부리
stradivari,스트라디바리
stratosfer,성층권
streptokok,연쇄상구균
strofantin,스트로판틴
subliminal,역하
subskripci,청약
sulfcianat,티오시안산염
sulfonamid,설폰아마이드
supermarkt,슈퍼마켓
supozitori,좌약
susceptanc,서셉턴스
susceptibl,감수율
suspensori,현수대
taklamakan,타클라마칸
tanganjiki,탕가니카
taĝikistan,타지키스탄
tegucigalp,테구시갈파
teknikolor,테크니컬러
teknokrati,기술관료제
telencefal,종뇌
terapeŭtik,치료학
terebintin,테레빈유
terminator,명암경계선
tizanopter,총채벌레목
tohuvabohu,혼돈
topinambur,돼지감자
tragopogon,쇠채아재비속
trajektori,궤도
transistor,트랜지스터
triakontan,트라이아콘테인
triceratop,트리케라톱스
trikomicet,털곰팡이
tripanosom,트리파노소마
trismegist,트리스메기스토스
tropidonot,유럽풀뱀
tuberkulin,투베르쿨린
umbilikari,석이버섯속
utrikulari,통발속
uzbekistan,우즈베키스탄
valerianel,콘샐러드속
vazopresin,바소프레신
vaŝingtoni,워싱턴주
verumontan,정구
vestminstr,웨스트민스터
virtemberg,뷔르템베르크
vorarlberg,포어아를베르크
vurtemberg,뷔르템베르크주
ĉatobriand,샤토브리앙
ĥalkolitik,동석기
ĥondrostom,콘드로스토마속
abstinenc,절제
acetonuri,아세톤뇨
acipenser,철갑상어
adamantin,법랑질
adeliland,아델리랜드
adrenalin,아드레날린
aerobatik,곡예비행
afanipter,벼룩목
agamemnon,아가멤논
akreditiv,신용장
aktinolit,녹섬석
akvamarin,아쿠아마린
aldebaran,알데바란
aliteraci,두운
alkanolat,알콕사이드
alternanc,교번
amblistom,암비스토마
amfetamin,암페타민
amfibolit,각섬암
amfitrion,암피트리온
amigdalin,아미그달린
amorfofal,곤약
amsterdam,암스테르담
anakinezi,운동재교육
anaksagor,아낙사고라스
analeptik,흥분제
analgezik,진통제
anamorfoz,왜상
anastatik,부활초
anastomoz,문합
anateksit,재용융암
anatoksin,톡소이드
aneŭploid,이수성
anglicism,영어식
anizokori,동공부등
antipirin,안티피린
antisemit,반유대
antoksant,향모속
antverpen,안트베르펜
apatosaŭr,아파토사우루스
apokalips,묵시록
aponeŭroz,널힘줄
aposiopez,돈절법
arabidops,애기장대
argironet,물거미
aristofan,아리스토파네스
aristotel,아리스토텔레스
aritenoid,피열연골
arkeozoik,시생대
arsacetin,아르사세틴
asklepiad,박주가리
asparagin,아스파라긴
aspidistr,엽란
aspirator,흡인기
asterolin,아스테롤리논속
astianaks,아스티아낙스
astrakant,황기속
astronaŭt,우주비행사
aventurin,사금석
avikulari,새잡이거미속
aĥaŝveroŝ,아하수에로
aŭksotrof,영양요구성
aŭrignaci,오리냐크기
aŭtomatik,자동학
badminton,배드민턴
bakĥanali,난교소동
bakĥofest,바쿠스제
balancier,평형장치
balantidi,발란티디움
bandolier,탄띠
bangladeŝ,방글라데시
bartolome,바르톨로메오
basketbal,농구
bekvadrat,제자리표
belerofon,벨레로폰
bertoleti,브라질너트
bikonveks,양볼록
birmingam,버밍엄
bjalistok,비아위스토크
bjelostok,비아위스토크
blastocer,늪사슴
blenoragi,임질
borborigm,복명
bramaputr,브라마푸트라
bratislav,브라티슬라바
brigantin,브리간틴
brikabrak,잡동사니
brunfelsi,브룬펠시아속
brusoneti,닥나무속
bugenvili,부건빌
centipeli,벌집위
centrifug,원심
centripet,구심
centromer,동원체
centrosom,중심체
ceratofil,붕어마름속
cezalpini,실거리나무속
ciberspac,사이버공간
ciklostil,등사
ciklostom,원구류
ciklotimi,순환기질
ciklotron,사이클로트론
cimbalari,심발라리아속
cimicifug,승마속
cinocefal,개코원숭이
cipripedi,복주머니란속
cirkumcid,할례
cisticerk,낭미충
citokinin,사이토키닌
dagerotip,다게레오타입
daresalam,다르에스살람
dehidraci,탈수
dekameron,데카메론
dekrement,감쇠
delikvesk,조해성
delkreder,지급보증
deltaplan,행글라이더
demarkaci,경계획정
dendrolag,나무캥거루속
depravaci,도착
destrojer,구축함
deŭkalion,데우칼리온
diagnozik,진단학
didaskali,지문
difenbaki,디펜바키아속
difeomorf,미분동형
diferenci,다르다
digitalin,디기탈린
diktiosom,골지체
dilatator,확장근
diminuend,디미누엔도
diminutiv,지소사
dinamotor,전동발전기
direktori,총재정부
direktric,준선
disertaci,논문
disjunkci,선언
diskrimin,식별
diskursiv,추론적
dismenore,월경곤란
dispozici,배치
diverĝenc,발산
doksologi,영광송
dominikan,도미니코회수사
drakunkol,타라곤
dramaturg,극작가
duralumin,두랄루민
duseldorf,뒤셀도르프
eglanteri,향장미
ejnŝtejni,아인슈타이늄
ekshibici,노출증
ekslibris,장서표
ekspedici,원정
ekspektor,객담
ekspertiz,감정
eksplicit,명시
eksponent,지수
ekstensor,폄근
ekstrados,아치외면
ekstrapol,외삽
ekzekutiv,행정권
elateriin,엘라테린
elefantin,엘레판티네
elektuari,연고약
eleokarit,바늘골속
embriofit,유배식물
embrokaci,도찰제
empeneron,승강타
energetik,에너지론
enkaŭstik,납화법
enumeraci,열거법
epaminond,에파메이논다스
epanortoz,정정법
epinefrin,에피네프린
epipaktid,닭의난초속
epiteliom,상피종
eratosten,에라토스테네스
eriobotri,비파
eritrocit,적혈구
eritrozin,에리트로신
eskalator,에스컬레이터
estradiol,에스트라디올
evangeliz,복음전도
eŭdiometr,유디오미터
faktorial,계승
falanster,공동숙소
falaropod,지느러미발도요
fanerogam,현화식물
farenhejt,화씨
farmakope,약전
fenacetin,페나세틴
fenantren,페난트렌
ferdinand,페르디난트
fibrilaci,세동
fikomicet,조균류
filadelfi,필라델피아
filakteri,성구함
filodendr,필로덴드론
filosemit,친유대
firmament,창공
flagelant,편타고행자
flogiston,플로지스톤
folikulin,에스트론
fomalhaŭt,포말하우트
fontanbel,퐁텐블로
foradendr,미국겨우살이속
fosfaturi,인산염뇨
fosforesk,인광
fraksinel,백선
frankfurt,프랑크푸르트
frankolin,프랑콜린
franĝipan,프랑지판
fraterkul,퍼핀
frenologi,골상학
fritilari,패모
fruktidor,프뤽티도르
